"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.228760750E0,3.018158582E-1,-2.502611588E-1,9.802161807E0
1.238689750E0,3.026531064E-1,-2.502868683E-1,9.802135495E0
1.248617750E0,3.025919117E-1,-2.501578458E-1,9.802140757E0
1.258546750E0,3.017242580E-1,-2.502465773E-1,9.802164731E0
1.268475750E0,3.000938715E-1,-2.502413331E-1,9.802215017E0
1.278404750E0,2.979157654E-1,-2.503720001E-1,9.802278167E0
1.288333750E0,2.956872819E-1,-2.504844859E-1,9.802343071E0
1.298262750E0,2.933332477E-1,-2.504542631E-1,9.802414407E0
1.308191750E0,2.915670414E-1,-2.504148492E-1,9.802468202E0
1.318120750E0,2.901290466E-1,-2.504293576E-1,9.802510301E0
1.328049750E0,2.888204032E-1,-2.506169619E-1,9.802544215E0
1.337978750E0,2.881864371E-1,-2.506228091E-1,9.802562926E0
1.347907750E0,2.885725361E-1,-2.506914774E-1,9.802549478E0
1.357836750E0,2.901610235E-1,-2.505975747E-1,9.802505039E0
1.367765750E0,2.931029770E-1,-2.504122728E-1,9.802422593E0
1.377694750E0,2.962598705E-1,-2.503597027E-1,9.802329038E0
1.387622750E0,2.985705074E-1,-2.502777503E-1,9.802260625E0
1.397551750E0,2.992595104E-1,-2.502041302E-1,9.802241914E0
1.407480750E0,2.986082585E-1,-2.503470398E-1,9.802257702E0
1.417409750E0,2.971469296E-1,-2.502409494E-1,9.802305064E0
1.427338750E0,2.956131684E-1,-2.501868078E-1,9.802353011E0
1.437267750E0,2.945883891E-1,-2.500826908E-1,9.802386340E0
1.447196750E0,2.947219248E-1,-2.499978697E-1,9.802384586E0
1.457125750E0,2.962090180E-1,-2.499667515E-1,9.802340147E0
1.467054750E0,2.988860195E-1,-2.500331357E-1,9.802257702E0
1.476983750E0,3.021603141E-1,-2.499115319E-1,9.802160053E0
1.486912750E0,3.061359273E-1,-2.499098691E-1,9.802036677E0
1.496841750E0,3.103596088E-1,-2.498415846E-1,9.801905699E0
1.506770750E0,3.147812001E-1,-2.497240190E-1,9.801767705E0
1.516699750E0,3.184630457E-1,-2.496334968E-1,9.801651345E0
1.526627750E0,3.211946090E-1,-2.495137202E-1,9.801564807E0
1.536556750E0,3.224272751E-1,-2.495241356E-1,9.801524461E0
1.546485750E0,3.227746363E-1,-2.494628129E-1,9.801514521E0
1.556414750E0,3.222611777E-1,-2.494368111E-1,9.801532062E0
