"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.956393583E0,-8.131950162E-4,5.970681552E-3,-2.912385389E-4
2.966321583E0,-1.205744920E-3,-3.575685434E-3,2.018521074E-3
2.976250583E0,1.325028948E-3,-9.443302639E-3,-3.899973817E-4
2.986179583E0,5.990513600E-4,-9.428389370E-3,5.394457839E-4
2.996108583E0,4.322659224E-4,-2.519641537E-3,-7.506459951E-6
3.006037583E0,6.636949256E-4,5.485554691E-3,8.074205834E-4
3.015966583E0,1.854305156E-4,9.382292628E-3,1.253650058E-3
3.025895583E0,1.194502227E-3,1.099350490E-2,6.778745446E-4
3.035824583E0,-3.430033103E-3,1.418305933E-2,2.557463013E-4
3.045753583E0,9.993361309E-4,1.575246081E-2,-1.213573851E-4
3.055682583E0,1.814855728E-3,1.338267792E-2,1.001443015E-3
3.065611583E0,-7.495018654E-4,1.360265538E-2,3.255326301E-4
3.075540583E0,-1.016020309E-3,1.718385704E-2,9.988907259E-4
3.085468583E0,-8.546747267E-6,1.415664144E-2,1.363211079E-3
3.095397583E0,-7.648570463E-4,1.592005976E-2,2.776240697E-3
3.105326583E0,7.121320814E-4,1.222652197E-2,-1.739681698E-3
3.115255583E0,-5.172104575E-4,9.537921287E-3,6.457555573E-4
3.125184583E0,7.975921035E-4,5.193773191E-3,1.012472901E-3
3.135113583E0,-1.146662515E-3,6.217220216E-4,-7.856711745E-4
3.145042583E0,-7.668957114E-4,-7.749924902E-3,3.453735262E-4
3.154971583E0,1.967058051E-3,-1.350345649E-2,8.643404581E-4
3.164900583E0,-1.727811527E-3,-1.870540716E-2,1.962628216E-3
3.174829583E0,-1.756451093E-3,-2.083758451E-2,7.877626922E-4
3.184758583E0,6.648949347E-4,-2.271804400E-2,3.262367100E-4
3.194687583E0,1.831753179E-3,-2.639156953E-2,9.785452858E-5
3.204615583E0,1.755333506E-4,-2.646054700E-2,-8.630142547E-4
3.214544583E0,1.146068797E-3,-2.664051205E-2,1.925346442E-4
3.224473583E0,3.713555634E-4,-2.672892995E-2,-2.035466023E-3
3.234402583E0,9.714951739E-5,-2.289328165E-2,2.284343587E-3
3.244331583E0,-2.376128454E-3,-1.729718037E-2,5.053519271E-4
3.254260583E0,4.391903058E-4,-7.410536520E-3,-8.397446945E-4
3.264189583E0,1.362241805E-3,5.188079551E-3,7.187372539E-4
3.274118583E0,1.498041674E-4,2.282582782E-2,1.102393726E-3
3.284047583E0,1.448627561E-3,3.978856653E-2,3.071739338E-4
3.293976583E0,9.998688474E-4,5.460372195E-2,1.410759287E-3
3.303905583E0,-1.958897337E-5,6.008157879E-2,2.117295982E-3
3.313834583E0,-1.682701288E-3,6.359004974E-2,3.644600511E-4
3.323763583E0,6.670057774E-4,5.375792459E-2,1.931197708E-3
3.333691583E0,1.033810433E-3,4.962100834E-2,2.066185931E-3
3.343620583E0,-1.028008759E-3,4.232634231E-2,1.367905177E-3
3.353549583E0,-9.349547327E-6,4.041526094E-2,2.715464681E-3
3.363478583E0,-1.172618242E-3,3.829618171E-2,-2.055055927E-3
3.373407583E0,1.617504284E-3,3.408303484E-2,1.364503987E-3
3.383336583E0,-1.407149248E-4,2.230360731E-2,-1.152182929E-3
3.393265583E0,-1.061151503E-3,1.002559904E-2,-1.860721968E-4
3.403194583E0,8.153119124E-4,3.346657148E-3,-2.028180752E-3
3.413123583E0,9.894231334E-4,-5.567107350E-3,5.241818726E-4
3.423052583E0,1.584373415E-3,-8.783939295E-3,1.327923732E-3
3.432981583E0,1.986733172E-3,-5.250344053E-3,-1.962660812E-3
3.442910583E0,1.678605098E-3,2.027009847E-3,1.597985625E-3
3.452839583E0,-3.962586634E-4,8.282393217E-3,-6.775851361E-4
3.462767583E0,1.477807760E-3,1.280097850E-2,3.570423229E-3
3.472696583E0,3.912495449E-4,1.089002192E-2,-1.134124119E-3
3.482625583E0,1.375020947E-3,5.576749332E-3,1.254198840E-3
3.492554583E0,2.498803660E-3,3.855788382E-3,-1.200641040E-3
3.502483583E0,2.785264514E-4,-7.200549589E-4,-1.964435447E-3
3.512412583E0,1.406446565E-3,-1.690218458E-3,-5.785883404E-4
3.522341583E0,1.756918617E-3,-2.760542789E-3,2.485378413E-3
3.532270583E0,-2.603534842E-3,4.499995848E-4,2.318006009E-4
3.542199583E0,7.917294279E-4,1.966403332E-3,-1.106816344E-4
3.552128583E0,8.525326848E-6,4.989648238E-3,-2.190168016E-4
3.562057583E0,-7.509812713E-5,2.123820595E-3,2.313915873E-3
3.571986583E0,-3.304239362E-4,1.863123849E-3,-8.020438254E-4
3.581914583E0,1.165473834E-3,2.270853845E-3,-1.275820192E-3
3.591843583E0,5.144942552E-4,-5.561426515E-4,2.138091484E-3
3.601772583E0,-3.375851549E-3,-1.099386904E-2,-2.190726809E-4
3.611701458E0,7.212902419E-4,-1.675341278E-2,-1.773243304E-3
3.621630458E0,1.888554078E-3,-1.425137371E-2,-2.346089575E-3
3.631559458E0,-2.985205734E-3,1.244145096E-5,-6.133704446E-4
3.641488458E0,1.268128864E-3,1.407233439E-2,-5.992553197E-4
3.651417458E0,1.810165588E-3,2.668868005E-2,-3.466545604E-4
3.661346458E0,-1.687363954E-3,2.476747707E-2,3.910409287E-4
3.671275458E0,-1.970708137E-3,2.540478110E-2,5.918708630E-4
3.681204458E0,2.615788020E-3,1.844114810E-2,1.457930775E-3
3.691133458E0,6.782105193E-4,1.023324858E-2,-3.069027327E-3
3.701061458E0,1.212174539E-3,8.183679543E-3,1.569933025E-3
3.710990458E0,9.678513743E-4,7.049351931E-3,-6.263037212E-4
3.720919458E0,-1.467875671E-3,5.669568200E-3,-1.590745524E-5
3.730848458E0,-1.721237786E-3,1.414622529E-3,4.210555926E-4
3.740777458E0,-4.575680941E-4,5.521749146E-3,1.143571222E-3
3.750706458E0,9.429082274E-5,7.506730501E-3,-2.973861992E-4
3.760635458E0,2.404050436E-3,1.249633380E-3,-3.053755499E-4
3.770564458E0,1.260472927E-3,-1.095458027E-2,6.304306444E-4
3.780493458E0,-2.525210613E-3,-2.109216899E-2,-1.962955575E-3
