"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.938963333E0,-1.403326169E-3,2.968112007E-2,7.250038907E-4
1.948892333E0,-3.061681055E-4,-5.573586561E-3,-2.417638898E-3
1.958820333E0,2.997010015E-4,-3.733897209E-2,-2.504191361E-3
1.968749333E0,-4.518111236E-4,-6.861297786E-2,-2.143276390E-3
1.978678333E0,-1.638515620E-3,-9.559159726E-2,-3.534245305E-3
1.988607333E0,2.508619800E-4,-1.175166816E-1,-3.951880150E-3
1.998536333E0,-1.936196350E-4,-1.300646961E-1,-1.365950797E-3
2.008465333E0,2.841231879E-3,-1.369053274E-1,-4.572362639E-3
2.018394333E0,9.469254874E-4,-1.370294243E-1,-3.839992918E-3
2.028323333E0,-2.097892575E-4,-1.352909803E-1,-5.292209331E-3
2.038252333E0,1.156488433E-4,-1.272964329E-1,-2.550219186E-3
2.048181333E0,-5.547837354E-4,-1.140511110E-1,-4.568283446E-3
2.058110167E0,-6.123082712E-4,-9.748385102E-2,-1.733348705E-3
2.068038167E0,-3.720466048E-4,-7.567268610E-2,-3.545912914E-3
2.077967167E0,-1.893537119E-4,-5.301291123E-2,-1.104326919E-3
2.087896167E0,9.031733498E-4,-2.887677774E-2,-1.188856084E-3
2.097825167E0,1.566300169E-3,-2.565812785E-3,-1.429872122E-3
2.107754167E0,-1.174342819E-3,2.115497552E-2,1.253823051E-3
2.117683167E0,-2.108047251E-3,4.241179302E-2,7.281149738E-4
2.127612167E0,2.427076921E-3,6.560114026E-2,2.887094859E-3
2.137541167E0,-8.078645915E-4,7.809482515E-2,-1.563653350E-4
2.147470167E0,8.105272427E-4,9.077294916E-2,1.206181245E-3
2.157399167E0,5.767014809E-4,9.923727065E-2,2.492754487E-3
2.167328167E0,1.321023330E-3,1.019755080E-1,1.616783906E-3
2.177256167E0,-8.678287268E-4,9.796345979E-2,2.936380217E-3
2.187185167E0,2.071745694E-4,9.231178463E-2,3.169751726E-3
2.197114167E0,-2.008309122E-3,8.370524645E-2,3.305839375E-3
2.207043167E0,3.278713208E-3,7.395505905E-2,1.471908065E-3
2.216972167E0,-1.762057655E-4,5.771510676E-2,2.589370357E-3
2.226901167E0,1.052858774E-3,3.914089873E-2,9.840447456E-4
2.236830167E0,-8.443770930E-4,2.315527573E-2,2.008829266E-3
2.246759167E0,1.779439859E-3,6.217598915E-3,4.428280517E-4
2.256688167E0,1.468382776E-3,-1.083541941E-2,-1.019513700E-3
2.266617167E0,-1.810677350E-5,-3.023437783E-2,-2.732227091E-3
2.276546167E0,-7.589720190E-5,-4.335310683E-2,-1.132200006E-3
2.286475167E0,1.462501474E-3,-5.556267127E-2,-2.068360336E-4
2.296403167E0,4.819254391E-4,-6.369969249E-2,-1.998078078E-3
2.306332167E0,3.338600509E-4,-6.678871065E-2,-2.840078901E-3
2.316261167E0,2.218312584E-3,-7.088811696E-2,-2.138868440E-3
2.326190167E0,3.513414413E-5,-7.062414289E-2,-1.713153906E-3
2.336119167E0,4.881378263E-4,-6.420778483E-2,-3.962725867E-3
2.346048167E0,-8.491938934E-5,-5.505581573E-2,6.521753967E-4
2.355977167E0,-1.328564249E-4,-4.716753587E-2,-1.891675871E-3
2.365906167E0,-4.710019566E-4,-3.429656848E-2,2.058896702E-3
2.375835167E0,8.824164979E-4,-2.279597148E-2,-1.013059635E-3
2.385764167E0,-1.579611562E-4,-6.269929931E-3,-3.547030501E-4
2.395693167E0,7.808031514E-4,4.585381132E-3,7.875268348E-4
2.405621167E0,-9.212116711E-4,1.952025108E-2,5.086197052E-4
2.415550167E0,-1.152373850E-3,2.817818895E-2,2.813053085E-3
2.425479167E0,1.766197383E-4,4.035620391E-2,2.372837625E-4
2.435408167E0,2.430719323E-3,4.700105637E-2,4.926044960E-3
2.445337167E0,1.974014100E-3,5.433873460E-2,1.708634663E-3
2.455266167E0,3.070570529E-5,5.652519315E-2,2.605320886E-3
2.465195167E0,6.818315014E-4,5.361860991E-2,3.253239207E-3
2.475124167E0,-2.084630542E-4,5.356960744E-2,2.405821346E-3
2.485053167E0,-1.618177164E-3,4.840115830E-2,2.219938207E-3
2.494982167E0,-3.880630247E-4,3.938342631E-2,-1.492099836E-4
2.504911167E0,-1.232383540E-3,3.102998808E-2,1.197659178E-3
