"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.512019333E0,3.647528070E-2,-3.004143172E-1,9.805330998E0
1.521948333E0,3.752452929E-2,-3.006487905E-1,9.805319889E0
1.531877333E0,3.810822302E-2,-3.007580056E-1,9.805314626E0
1.541806333E0,3.890285506E-2,-3.010822337E-1,9.805301178E0
1.551735333E0,4.018539157E-2,-3.012693628E-1,9.805290653E0
1.561664333E0,4.251266106E-2,-3.013278715E-1,9.805278958E0
1.571593333E0,4.562867425E-2,-3.014662313E-1,9.805260832E0
1.581522333E0,4.997489138E-2,-3.014129303E-1,9.805240951E0
1.591451333E0,5.499673143E-2,-3.015087698E-1,9.805211130E0
1.601380333E0,6.027006570E-2,-3.016000777E-1,9.805177217E0
1.611308333E0,6.543271401E-2,-3.015350640E-1,9.805146226E0
1.621237333E0,6.875364928E-2,-3.016875119E-1,9.805118744E0
1.631166333E0,6.963572460E-2,-3.020364993E-1,9.805101787E0
1.641095333E0,6.792947510E-2,-3.020397335E-1,9.805114067E0
1.651024333E0,6.332505316E-2,-3.022793414E-1,9.805137455E0
1.660953333E0,5.620730606E-2,-3.023982409E-1,9.805177217E0
1.670882333E0,4.725088831E-2,-3.025382452E-1,9.805219901E0
1.680811333E0,3.721254151E-2,-3.026875685E-1,9.805258493E0
1.690740333E0,2.686785771E-2,-3.029768595E-1,9.805283636E0
1.700669333E0,1.661977631E-2,-3.032710292E-1,9.805297084E0
1.710598333E0,7.040592967E-3,-3.034120019E-1,9.805304101E0
1.720527333E0,-1.139386643E-3,-3.037319177E-1,9.805297084E0
1.730455333E0,-7.918057325E-3,-3.038445863E-1,9.805290068E0
1.740384333E0,-1.333356345E-2,-3.040056588E-1,9.805279543E0
1.750313333E0,-1.778424816E-2,-3.041733277E-1,9.805267264E0
1.760242333E0,-2.151562028E-2,-3.045222055E-1,9.805248553E0
1.770171333E0,-2.533996427E-2,-3.047913053E-1,9.805231011E0
1.780100333E0,-2.938682222E-2,-3.046744523E-1,9.805223410E0
1.790029333E0,-3.408552138E-2,-3.047277534E-1,9.805206453E0
1.799958333E0,-4.067612828E-2,-3.043234367E-1,9.805194173E0
1.809887333E0,-4.959735311E-2,-3.042188994E-1,9.805156167E0
1.819816333E0,-6.103334662E-2,-3.039665555E-1,9.805099449E0
1.829745333E0,-7.543038840E-2,-3.036956467E-1,9.805007647E0
1.839673333E0,-9.271917069E-2,-3.039022910E-1,9.804853281E0
1.849602333E0,-1.116904436E-1,-3.039047943E-1,9.804655645E0
1.859531333E0,-1.315753531E-1,-3.040638751E-1,9.804403630E0
1.869460333E0,-1.515410273E-1,-3.041278656E-1,9.804113608E0
