"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.871308375E0,1.288703550E-2,-2.308837622E-1,-6.762200035E-3
1.881237375E0,1.922500506E-2,-2.863455415E-1,-6.470354274E-3
1.891166375E0,1.937147789E-2,-3.494624496E-1,-8.690898307E-3
1.901095375E0,2.241213433E-2,-4.088674486E-1,-8.222196251E-3
1.911024375E0,2.594135515E-2,-4.654116929E-1,-1.165288128E-2
1.920953375E0,3.028755449E-2,-5.112476945E-1,-1.069650613E-2
1.930882375E0,3.263193369E-2,-5.479124784E-1,-1.300440170E-2
1.940811375E0,2.921907604E-2,-5.501772165E-1,-1.147710904E-2
1.950740375E0,3.292965889E-2,-5.134663582E-1,-1.090799086E-2
1.960669375E0,2.854701877E-2,-4.812266529E-1,-6.768654101E-3
1.970598375E0,3.179687262E-2,-4.724677801E-1,-1.015379839E-2
1.980527375E0,3.646919504E-2,-4.990428388E-1,-6.892484147E-3
1.990456375E0,4.527973011E-2,-5.551862717E-1,-1.218791306E-2
2.000385375E0,4.938478768E-2,-6.697739363E-1,-1.317110471E-2
2.010314375E0,5.525759235E-2,-9.062373042E-1,-1.934724115E-2
2.020243375E0,5.737727135E-2,-1.316118121E0,-2.022794262E-2
2.030172375E0,2.790193632E-2,-1.706255317E0,-3.270405158E-2
2.040101375E0,-5.891110376E-2,-1.859378576E0,-5.459206551E-2
2.050030375E0,-1.061398685E-1,-2.128156424E0,-1.166841984E-1
2.059960375E0,-1.387720257E-1,-2.566531181E0,-2.010922879E-1
2.069889375E0,-1.890746057E-1,-2.942012787E0,-2.793215811E-1
2.079818375E0,-2.325521708E-1,-3.259068012E0,-3.282015324E-1
2.089747375E0,-2.351703346E-1,-3.496690273E0,-3.284752965E-1
2.099676375E0,-1.712335646E-1,-3.623229742E0,-3.025928438E-1
2.109605375E0,-4.009366035E-2,-3.895909071E0,-2.575268447E-1
2.119534375E0,1.851088852E-1,-4.493844986E0,-2.077358216E-1
2.129463375E0,4.521192908E-1,-5.380836010E0,-1.946261525E-1
2.139392375E0,6.603554487E-1,-6.190738201E0,-1.994358003E-1
2.149321375E0,8.429273963E-1,-6.736576557E0,-2.144978344E-1
2.159250375E0,9.843222499E-1,-7.023100853E0,-2.438299060E-1
2.169179375E0,9.366700649E-1,-6.819029808E0,-2.372910529E-1
2.179108375E0,2.548990846E-1,-2.971894979E0,2.122454941E-1
2.189037375E0,-4.365041256E-1,-3.445706606E0,9.540862590E-2
2.198966375E0,3.351175785E-1,-3.894318342E0,5.139216036E-2
2.208895375E0,5.212795138E-1,-4.021227360E0,-1.846867800E-2
2.218824375E0,3.052294850E-1,-4.340054512E0,4.605920985E-2
2.228753375E0,7.140446305E-1,-4.596513748E0,7.986324281E-2
2.238682375E0,7.095386386E-1,-4.707620144E0,9.290500730E-2
2.248612375E0,6.698971987E-1,-4.704988956E0,1.080581248E-1
2.258541375E0,7.498107553E-1,-4.636553764E0,1.032205075E-1
2.268470375E0,6.650252938E-1,-4.599606991E0,1.017941162E-1
2.278399375E0,6.455860734E-1,-4.621244907E0,8.209444582E-2
2.288328375E0,6.915663481E-1,-4.656656265E0,6.716210395E-2
2.298257375E0,6.784369946E-1,-4.751437187E0,3.938322142E-2
2.308186375E0,6.845151186E-1,-4.750488758E0,1.543128490E-2
2.318115375E0,6.921373606E-1,-4.698748589E0,-7.421289105E-3
2.328044375E0,6.642298102E-1,-4.644108772E0,-2.740831301E-2
2.337973375E0,6.519380212E-1,-4.589684486E0,-4.538122937E-2
2.347902375E0,6.424608827E-1,-4.533941746E0,-7.892240584E-2
2.357831375E0,6.452857256E-1,-4.449827194E0,-1.271903664E-1
2.367760375E0,6.517167687E-1,-4.292841434E0,-1.830813289E-1
2.377689375E0,6.227803826E-1,-4.049227238E0,-2.368563861E-1
2.387618375E0,5.637903214E-1,-3.788166285E0,-2.751374841E-1
2.397547375E0,4.844985306E-1,-3.506824493E0,-2.851171196E-1
2.407476375E0,3.743802607E-1,-3.271689415E0,-2.809860110E-1
2.417405375E0,2.635389864E-1,-3.155868292E0,-2.659215629E-1
2.427335375E0,1.787660271E-1,-3.211040258E0,-2.570143640E-1
2.437264375E0,1.195579469E-1,-3.377707243E0,-2.539363205E-1
2.447193375E0,6.985590607E-2,-3.593328953E0,-2.446943521E-1
2.457122375E0,2.377047762E-2,-3.824977160E0,-2.376095206E-1
2.467051375E0,-3.664074931E-3,-4.018167496E0,-2.345096022E-1
2.476980375E0,-1.796159148E-2,-4.179283142E0,-2.416463643E-1
2.486909375E0,-4.596712813E-2,-4.272252083E0,-2.471862733E-1
2.496838375E0,-6.313090771E-2,-4.263699532E0,-2.279385328E-1
2.506767375E0,-1.147789210E-1,-4.058825970E0,-1.591962278E-1
2.516696375E0,-1.092677861E-1,-3.834211826E0,-8.339596540E-2
2.526625375E0,-1.331811100E-1,-3.628374577E0,1.986331120E-2
2.536554375E0,-1.081849411E-1,-3.431772709E0,1.052040458E-1
2.546483375E0,-6.492003053E-2,-3.254746437E0,1.796689481E-1
2.556412375E0,-3.007650748E-2,-2.978308439E0,2.250396162E-1
2.566341375E0,-2.255281247E-2,-2.571792841E0,2.713490427E-1
2.576270375E0,-2.744454890E-2,-1.979767323E0,3.273696899E-1
2.586199375E0,-1.578816026E-2,-1.379002929E0,3.729502261E-1
2.596128375E0,7.506789267E-2,-1.321531177E0,3.640017807E-1
2.606058375E0,1.854527295E-1,-1.646875620E0,3.254706264E-1
2.615987375E0,3.365155756E-1,-1.731572390E0,3.443324566E-1
2.625916375E0,4.401279688E-1,-1.572076678E0,3.519906402E-1
2.635845375E0,4.829977751E-1,-1.635251284E0,2.778841853E-1
2.645774375E0,4.620395005E-1,-1.747050524E0,1.986684799E-1
2.655703375E0,4.168873727E-1,-1.772555470E0,1.324878484E-1
2.665632375E0,3.370950818E-1,-1.893786311E0,7.793805003E-2
2.675561375E0,2.362907082E-1,-1.960857391E0,5.551690236E-2
2.685490375E0,1.434952617E-1,-2.193378925E0,-1.188722439E-3
2.695419375E0,3.285541013E-2,-2.084756613E0,-2.850500494E-2
2.705348375E0,-2.868758142E-2,-2.029583931E0,-3.797094524E-2
2.715277375E0,-5.102682114E-2,-2.019403696E0,-4.834584892E-2
2.725206375E0,-2.400958724E-2,-2.038204670E0,-9.135802835E-2
2.735135375E0,1.075573359E-2,-1.956615210E0,-9.812504053E-2
2.745064375E0,4.806555435E-2,-1.954540610E0,-5.418581143E-2
2.754993375E0,8.792817593E-2,-1.980127692E0,-1.418801025E-3
2.764922375E0,1.439128816E-1,-1.983480811E0,1.409970410E-2
2.774851375E0,1.784466505E-1,-1.981459022E0,3.122942988E-3
2.784780375E0,1.951537132E-1,-1.989903092E0,1.851549838E-3
2.794710375E0,2.077341378E-1,-2.022567749E0,1.272097975E-2
2.804639375E0,2.092771679E-1,-2.080811739E0,2.048808709E-2
2.814568375E0,1.906497478E-1,-2.162599087E0,4.514799919E-3
2.824498500E0,1.272870153E-1,-2.284524202E0,-3.556390852E-2
2.834427500E0,7.967913896E-2,-2.342709303E0,-2.916179039E-2
2.844356500E0,5.382464081E-2,-2.388542175E0,-1.766599156E-2
2.854285500E0,4.981521890E-2,-2.373828650E0,-2.992526814E-2
2.864214500E0,5.767739937E-2,-2.364317179E0,-4.259845614E-2
2.874143500E0,7.113796473E-2,-2.365107775E0,-2.268362790E-2
2.884072500E0,8.009044826E-2,-2.359262705E0,-6.023158785E-3
2.894001500E0,8.560516685E-2,-2.270166397E0,2.428497188E-2
2.903930500E0,1.082415059E-1,-2.269731045E0,9.037743509E-2
2.913859500E0,1.531554610E-1,-2.410005808E0,1.196215674E-1
2.923788500E0,1.732143909E-1,-2.254571438E0,8.511126041E-2
2.933717500E0,1.819642782E-1,-2.221020699E0,9.440440685E-2
2.943646500E0,1.752336621E-1,-2.230096817E0,1.366448104E-1
2.953575500E0,1.401953399E-1,-2.164511442E0,1.505539417E-1
2.963505500E0,9.828916192E-2,-2.015397072E0,1.545894295E-1
2.973434500E0,-4.073070586E-1,-2.849748433E-1,4.225077331E-1
2.983363500E0,-1.884040385E-1,-3.897146136E-2,1.634207666E-1
2.993292500E0,1.152866241E-2,-9.695868008E-3,3.331778105E-3
3.003221500E0,1.017512381E-1,2.466679960E-1,1.659845468E-3
3.013150500E0,8.476486057E-2,1.701877117E-1,1.515055913E-2
3.023079500E0,8.814441413E-2,2.526463568E-1,1.445866935E-2
3.033008500E0,-9.753642604E-3,5.092890859E-1,1.498009078E-4
3.042937500E0,-6.698497385E-2,4.692860693E-2,-1.178408973E-2
3.052866500E0,7.055245340E-3,-1.975247413E-1,5.524293520E-3
3.062795500E0,1.903307810E-2,1.250678208E-3,2.100231871E-2
3.072724500E0,1.455329452E-2,-1.392274201E-1,-1.355109736E-2
3.082653500E0,-5.320711061E-2,-3.636566456E-3,-2.018529922E-2
3.092582500E0,-5.127800629E-2,-1.247350499E-1,-3.106477484E-2
3.102511500E0,-6.161926314E-3,4.784284532E-2,5.092165899E-3
3.112440500E0,5.808482319E-2,-1.171426289E-2,2.369186655E-2
3.122369500E0,1.432908513E-2,9.408406913E-2,3.601246513E-3
3.132298500E0,-2.128189057E-2,5.754442513E-2,-1.639560238E-2
3.142228500E0,-2.148029581E-2,2.792421542E-2,-2.590840217E-3
3.152157500E0,-1.053926535E-2,-3.544728085E-2,1.048442349E-2
3.162086500E0,5.680451170E-3,-4.823524877E-2,4.096855409E-4
3.172015500E0,6.993123330E-3,-1.717746072E-2,-6.949161645E-3
3.181944500E0,4.681142978E-3,-1.170229353E-2,-1.837417483E-3
3.191873500E0,2.832892817E-3,-1.161519811E-2,7.662315387E-3
3.201802500E0,-8.011499420E-3,2.478648536E-2,-4.621902481E-4
3.211731500E0,-1.517963596E-2,2.648445405E-2,-4.834845196E-3
3.221660500E0,9.162425995E-4,1.992242411E-2,-2.031069249E-3
3.231589500E0,1.406859234E-2,-1.258939155E-3,9.952827357E-3
3.241518500E0,4.854054656E-3,-1.685361192E-2,2.011813922E-3
3.251447500E0,-4.976507276E-3,-1.357913949E-2,-4.428724293E-3
3.261376500E0,-7.935279049E-3,-1.167577878E-2,-8.049607277E-4
3.271305500E0,-7.632860914E-3,-6.822394207E-3,4.727572203E-3
3.281234500E0,5.018219352E-3,9.597857483E-3,1.249217661E-3
3.291163500E0,5.544886924E-3,2.085652575E-2,-4.170379136E-3
3.301093500E0,2.742175944E-3,6.161735859E-3,3.550923895E-3
3.311022500E0,-1.183314016E-3,-3.128488315E-3,1.689358614E-4
3.320951500E0,-8.574118838E-3,-5.486451089E-3,-1.337880734E-3
3.330880500E0,-2.729598433E-3,-1.003766805E-2,-4.515809473E-3
3.340809500E0,7.748552598E-4,-4.076980520E-3,2.361804014E-3
3.350738500E0,3.993089776E-3,1.585030463E-3,1.335429028E-3
3.360667500E0,-1.262658974E-3,6.422662176E-3,-2.337070182E-3
3.370596500E0,-1.963194227E-3,4.761377815E-3,1.843574690E-3
3.380525500E0,-5.043672863E-3,1.392212696E-3,1.379385591E-3
3.390454500E0,6.185807288E-4,-6.136528682E-3,1.499450998E-3
3.400383500E0,1.576520037E-3,-2.179195726E-4,5.732034333E-4
3.410312500E0,2.302674111E-3,-3.324787831E-3,1.954923617E-3
3.420241500E0,1.627894491E-2,-5.788812996E-5,2.194341971E-3
3.430170500E0,2.410047874E-2,4.160919785E-2,2.824441995E-3
3.440099500E0,8.510068059E-3,4.611792788E-2,-6.441760808E-3
3.450028500E0,2.120552585E-2,4.152444005E-2,-4.979681224E-3
3.459957500E0,1.527013723E-2,3.495442122E-2,1.064907946E-2
3.469887500E0,7.872702554E-3,1.646856219E-2,2.663047053E-3
3.479816500E0,1.028911211E-3,-5.299851298E-3,1.273143338E-3
3.489745500E0,-5.188265350E-3,-7.252329588E-2,4.606632981E-3
3.499674500E0,-4.689987749E-3,-1.172217950E-1,1.011484861E-2
3.509603500E0,3.519753367E-2,-1.416957825E-1,9.553177282E-3
3.519532500E0,8.099071681E-3,-7.994026691E-2,1.471145358E-2
3.529461500E0,-2.848243341E-3,-2.720648609E-2,4.185893387E-2
3.539390500E0,3.107383847E-3,-4.592424631E-2,3.851773217E-2
3.549319500E0,-5.682423711E-3,-1.066588983E-1,9.229600430E-3
3.559248500E0,-2.508734586E-3,-2.685066462E-1,-3.578607738E-2
3.569177500E0,-2.523566410E-2,-1.528481543E-1,-3.625427932E-2
3.579106500E0,-2.682949416E-3,-1.670273542E-1,-3.399325535E-2
3.589035500E0,1.385544054E-2,-1.846164763E-1,-5.813772790E-3
3.598964500E0,1.987151988E-2,-1.419792771E-1,1.287282910E-2
3.608893500E0,2.740958147E-2,-9.060715884E-2,6.233805791E-3
3.618822500E0,1.918014698E-2,-5.229705200E-2,1.754984260E-2
3.628751500E0,1.249303110E-2,1.203035004E-2,2.733053640E-2
3.638681500E0,2.561836503E-3,7.007021457E-2,4.058189318E-2
3.648610500E0,1.890604384E-3,1.143401563E-1,4.411481693E-2
3.658539500E0,-5.641614087E-3,1.179985404E-1,5.233386531E-2
3.668468500E0,-9.940356016E-3,8.634611219E-2,5.212726071E-2
3.678397500E0,-2.126757987E-2,3.892187402E-2,5.524555594E-2
3.688326500E0,-2.473599091E-2,-6.165281311E-2,5.373424664E-2
3.698255500E0,-3.422323614E-2,-1.383649111E-1,4.515194520E-2
3.708184500E0,-3.479675576E-2,-1.987116039E-1,4.144374281E-2
3.718113500E0,-3.104995564E-2,-1.938060522E-1,3.961495310E-2
3.728042500E0,-2.695210651E-2,-1.342445165E-1,4.438522458E-2
3.737971500E0,-2.057277039E-2,-5.192595348E-2,5.226524919E-2
3.747900500E0,-2.297457680E-2,3.618559986E-2,5.278483033E-2
3.757829500E0,-1.996227540E-2,8.156133443E-2,5.122474954E-2
3.767758500E0,-1.741371863E-2,6.872291118E-2,4.071161896E-2
3.777687500E0,-1.563232951E-2,2.244782820E-2,2.865415812E-2
