"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.426286833E0,-5.222534215E-1,-2.838092663E-1,9.791976542E0
2.436216833E0,-5.266517702E-1,-2.835824309E-1,9.791747332E0
2.446145833E0,-5.311812793E-1,-2.834087320E-1,9.791507596E0
2.456075833E0,-5.354639262E-1,-2.833448877E-1,9.791276631E0
2.466004833E0,-5.394584516E-1,-2.830652994E-1,9.791064962E0
2.475934833E0,-5.431688388E-1,-2.828567183E-1,9.790866156E0
2.485864833E0,-5.465544863E-1,-2.827754785E-1,9.790680215E0
2.495793833E0,-5.498799806E-1,-2.825083156E-1,9.790501290E0
2.505723833E0,-5.532606214E-1,-2.822902876E-1,9.790317687E0
2.515653833E0,-5.567522497E-1,-2.822427972E-1,9.790120636E0
2.525582833E0,-5.600942624E-1,-2.823491069E-1,9.789927093E0
2.535512833E0,-5.629900228E-1,-2.822110761E-1,9.789765126E0
2.545441833E0,-5.651779778E-1,-2.819296057E-1,9.789647012E0
2.555371833E0,-5.667969257E-1,-2.815780419E-1,9.789563397E0
2.565301833E0,-5.688795942E-1,-2.816660790E-1,9.789440020E0
2.575230833E0,-5.718604682E-1,-2.817465330E-1,9.789264019E0
2.585160833E0,-5.757759100E-1,-2.817933473E-1,9.789033639E0
2.595089833E0,-5.804591643E-1,-2.819641774E-1,9.788751803E0
2.605019833E0,-5.853124264E-1,-2.822525730E-1,9.788454764E0
2.614949833E0,-5.891204987E-1,-2.825536315E-1,9.788217368E0
2.624878833E0,-5.912205262E-1,-2.827329766E-1,9.788085805E0
2.634808833E0,-5.911235720E-1,-2.827738157E-1,9.788090483E0
2.644737833E0,-5.888002540E-1,-2.828611403E-1,9.788227893E0
2.654667833E0,-5.852585224E-1,-2.828814045E-1,9.788439562E0
2.664597833E0,-5.818398381E-1,-2.827927461E-1,9.788645968E0
2.674526833E0,-5.793023658E-1,-2.827522907E-1,9.788797411E0
2.684456833E0,-5.782677741E-1,-2.829380129E-1,9.788853545E0
2.694385833E0,-5.785951816E-1,-2.832751597E-1,9.788824309E0
2.704315833E0,-5.800679490E-1,-2.834541393E-1,9.788731923E0
2.714245833E0,-5.824545632E-1,-2.834259813E-1,9.788591005E0
2.724174833E0,-5.846272058E-1,-2.834861711E-1,9.788460027E0
2.734104833E0,-5.858860748E-1,-2.835651450E-1,9.788382259E0
2.744033833E0,-5.860563384E-1,-2.836587370E-1,9.788369395E0
2.753963833E0,-5.849486565E-1,-2.837454403E-1,9.788433130E0
2.763893833E0,-5.828434761E-1,-2.838196451E-1,9.788556506E0
2.773822833E0,-5.802871100E-1,-2.838396353E-1,9.788707949E0
2.783752833E0,-5.774999981E-1,-2.839858522E-1,9.788868747E0
2.793681833E0,-5.746806534E-1,-2.840375270E-1,9.789033054E0
2.803611833E0,-5.724788478E-1,-2.838817718E-1,9.789166371E0
2.813541833E0,-5.705586953E-1,-2.837951233E-1,9.789280976E0
2.823470833E0,-5.690204025E-1,-2.838780259E-1,9.789368100E0
2.833400833E0,-5.676921709E-1,-2.840544839E-1,9.789440020E0
2.843329833E0,-5.661687885E-1,-2.843473380E-1,9.789520127E0
2.853259833E0,-5.637868521E-1,-2.846036471E-1,9.789649935E0
